Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C1630,4,diatonic,"1,2,5,3,5,4,1,3,0,1,5,4,1,3,1,5",shifted,swapped,1,7,"5,8,15,10,15,12,5,10,3,5,15,12,5,10,5,15","5,8,15,10,15,12,5,3,10,5,15,12,5,10,5,15","5,8,15,10,15,12,5,11,3,5,15,12,5,10,5,15",false,
S1C1630,4,chromatic,"10,4,6,9,5,9,8,1,2,0,2,7,1,10,2,3",swapped,shifted,-1,8,"13,7,9,12,8,12,11,3,5,1,5,10,3,13,5,6","13,7,9,12,8,12,11,5,3,1,5,10,3,13,5,6","13,7,9,12,8,12,11,3,4,1,5,10,3,13,5,6",false,
S1C1630,4,chromatic,"7,5,1,2,4,0,5,6,1,0,7,8,3,8,7,6",shifted,swapped,1,8,"12,10,5,7,9,2,10,11,5,2,12,13,8,13,12,11","12,10,5,7,9,2,10,5,11,2,12,13,8,13,12,11","12,10,5,7,9,2,10,11,6,2,12,13,8,13,12,11",false,
S1C1630,4,chromatic,"7,4,6,10,3,10,7,1,5,7,0,2,9,4,0,8",shifted,swapped,-1,7,"10,7,9,13,6,13,10,4,8,10,1,5,12,7,1,11","10,7,9,13,6,13,10,8,4,10,1,5,12,7,1,11","10,7,9,13,6,13,10,3,8,10,1,5,12,7,1,11",false,
S1C1630,4,chromatic,"8,7,5,2,7,8,7,6,5,4,0,4,3,1,7,6",shifted,swapped,1,8,"13,12,8,3,12,13,12,11,8,7,1,7,6,2,12,11","13,12,8,3,12,13,12,8,11,7,1,7,6,2,12,11","13,12,8,3,12,13,12,11,9,7,1,7,6,2,12,11",false,
S1C1630,4,chromatic,"6,9,5,9,3,2,7,1,8,9,3,6,4,0,5,0",swapped,shifted,-1,8,"9,13,8,13,4,3,10,2,12,13,4,9,5,1,8,1","9,13,8,13,4,3,10,12,2,13,4,9,5,1,8,1","9,13,8,13,4,3,10,2,11,13,4,9,5,1,8,1",false,
S1C1630,4,chromatic,"2,1,4,7,2,7,4,3,0,7,3,6,4,5,7,0",shifted,swapped,-1,7,"6,4,10,13,6,13,10,8,2,13,8,12,10,11,13,2","6,4,10,13,6,13,10,2,8,13,8,12,10,11,13,2","6,4,10,13,6,13,10,7,2,13,8,12,10,11,13,2",false,
S1C1630,4,chromatic,"0,2,3,7,3,1,9,4,3,5,2,9,6,9,8,10",shifted,swapped,-1,7,"1,3,4,9,4,2,11,6,4,7,3,11,8,11,10,12","1,3,4,9,4,2,11,4,6,7,3,11,8,11,10,12","1,3,4,9,4,2,11,5,4,7,3,11,8,11,10,12",false,
S1C1630,4,chromatic,"6,4,7,4,7,2,1,2,0,5,1,0,7,5,7,3",swapped,shifted,1,7,"12,10,13,10,13,7,6,7,5,11,6,5,13,11,13,9","12,10,13,10,13,7,6,5,7,11,6,5,13,11,13,9","12,10,13,10,13,7,6,8,5,11,6,5,13,11,13,9",false,
S1C1630,4,diatonic,"2,0,1,4,1,3,5,2,1,5,1,5,1,4,2,0",shifted,swapped,1,8,"8,3,5,13,5,10,15,8,5,15,5,15,5,13,8,3","8,3,5,13,5,10,15,5,8,15,5,15,5,13,8,3","8,3,5,13,5,10,15,8,6,15,5,15,5,13,8,3",false,
