Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C1251,3,diatonic,"5,4,3,4,1,3,2,5,3,0,3,2",shifted,swapped,1,5,"10,8,5,8,1,5,3,10,5,-2,5,3","10,8,5,8,1,3,5,10,5,-2,5,3","10,8,5,8,1,6,3,10,5,-2,5,3",false,
S1C1251,3,diatonic,"2,3,4,2,1,5,3,4,5,1,0,4",shifted,swapped,-1,5,"3,6,8,3,1,10,6,8,10,1,-2,8","3,6,8,3,1,6,10,8,10,1,-2,8","3,6,8,3,1,9,6,8,10,1,-2,8",false,
S1C1251,3,chromatic,"5,2,3,1,5,0,4,5,4,5,2,0",swapped,shifted,1,5,"10,7,8,5,10,3,9,10,9,10,7,3","10,7,8,5,10,9,3,10,9,10,7,3","10,7,8,5,10,4,9,10,9,10,7,3",false,
S1C1251,3,diatonic,"5,3,4,1,5,1,2,0,3,4,0,4",swapped,shifted,-1,6,"10,5,8,1,10,1,3,-2,5,8,-2,8","10,5,8,1,10,3,1,-2,5,8,-2,8","10,5,8,1,10,1,2,-2,5,8,-2,8",false,
S1C1251,3,chromatic,"7,6,0,4,1,8,3,5,7,9,6,2",shifted,swapped,1,5,"7,6,-1,3,0,8,2,5,7,10,6,1","7,6,-1,3,0,2,8,5,7,10,6,1","7,6,-1,3,0,9,2,5,7,10,6,1",false,
S1C1251,3,diatonic,"1,3,5,2,0,3,4,2,0,3,5,4",swapped,shifted,-1,6,"1,6,10,3,-2,6,8,3,-2,6,10,8","1,6,10,3,-2,8,6,3,-2,6,10,8","1,6,10,3,-2,6,7,3,-2,6,10,8",false,
S1C1251,3,diatonic,"5,3,1,4,0,3,5,0,1,2,1,3",shifted,swapped,1,5,"10,5,0,7,-2,5,10,-2,0,3,0,5","10,5,0,7,-2,10,5,-2,0,3,0,5","10,5,0,7,-2,6,10,-2,0,3,0,5",false,
S1C1251,3,diatonic,"0,1,2,0,2,3,5,1,0,4,2,1",swapped,shifted,1,5,"-2,0,3,-2,3,5,10,0,-2,7,3,0","-2,0,3,-2,3,10,5,0,-2,7,3,0","-2,0,3,-2,3,6,10,0,-2,7,3,0",false,
S1C1251,3,diatonic,"0,1,0,3,4,1,0,2,0,5,0,4",swapped,shifted,-1,6,"-2,0,-2,5,7,0,-2,2,-2,10,-2,7","-2,0,-2,5,7,-2,0,2,-2,10,-2,7","-2,0,-2,5,7,0,-3,2,-2,10,-2,7",false,
S1C1251,3,chromatic,"0,1,5,3,8,6,5,2,4,7,5,0",swapped,shifted,1,5,"-1,0,5,3,9,6,5,1,4,8,5,-1","-1,0,5,3,9,5,6,1,4,8,5,-1","-1,0,5,3,9,7,5,1,4,8,5,-1",false,
S1C1251,3,chromatic,"1,5,4,3,6,0,2,3,5,4,2,3",swapped,shifted,-1,6,"1,7,6,5,10,0,3,5,7,6,3,5","1,7,6,5,10,3,0,5,7,6,3,5","1,7,6,5,10,0,2,5,7,6,3,5",false,
S1C1251,3,chromatic,"5,4,0,4,3,0,4,5,0,2,1,4",swapped,shifted,-1,5,"10,9,2,9,6,2,9,10,2,5,3,9","10,9,2,9,6,9,2,10,2,5,3,9","10,9,2,9,6,1,9,10,2,5,3,9",false,
S1C1251,3,chromatic,"2,3,2,5,1,0,5,8,6,4,7,6",shifted,swapped,-1,6,"1,3,1,7,0,-1,7,10,8,4,9,8","1,3,1,7,0,7,-1,10,8,4,9,8","1,3,1,7,0,-1,6,10,8,4,9,8",false,
S1C1251,3,diatonic,"2,0,1,2,4,3,5,0,2,0,4,3",shifted,swapped,1,5,"3,-2,0,3,8,5,10,-2,3,-2,8,5","3,-2,0,3,8,10,5,-2,3,-2,8,5","3,-2,0,3,8,6,10,-2,3,-2,8,5",false,
S1C1251,3,diatonic,"0,2,0,2,1,3,2,4,3,5,4,0",shifted,swapped,-1,6,"-2,3,-2,3,0,5,3,8,5,10,8,-2","-2,3,-2,3,0,3,5,8,5,10,8,-2","-2,3,-2,3,0,5,2,8,5,10,8,-2",false,
S1C1251,3,chromatic,"4,8,5,3,8,6,2,7,5,0,7,1",swapped,shifted,1,6,"6,11,7,4,11,8,2,10,7,0,10,1","6,11,7,4,11,2,8,10,7,0,10,1","6,11,7,4,11,8,3,10,7,0,10,1",false,
S1C1251,3,chromatic,"4,3,1,5,2,6,4,0,5,3,6,2",shifted,swapped,-1,5,"5,4,1,7,3,9,5,-1,7,4,9,3","5,4,1,7,3,5,9,-1,7,4,9,3","5,4,1,7,3,8,5,-1,7,4,9,3",false,
S1C1251,3,chromatic,"5,2,0,4,1,3,7,1,7,2,6,7",shifted,swapped,1,6,"6,2,0,5,1,4,9,1,9,2,8,9","6,2,0,5,1,9,4,1,9,2,8,9","6,2,0,5,1,4,10,1,9,2,8,9",false,
S1C1251,3,diatonic,"5,4,3,2,5,3,1,0,1,2,1,3",swapped,shifted,1,6,"10,7,5,2,10,5,0,-2,0,2,0,5","10,7,5,2,10,0,5,-2,0,2,0,5","10,7,5,2,10,5,1,-2,0,2,0,5",false,
S1C1251,3,chromatic,"5,6,4,0,1,5,3,6,3,4,2,1",shifted,swapped,-1,6,"10,11,8,0,1,10,6,11,6,8,2,1","10,11,8,0,1,6,10,11,6,8,2,1","10,11,8,0,1,10,5,11,6,8,2,1",false,
