Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C1679,1,diatonic,"0,2,0,3,2,5,4,0,3,5,1,3,1,4,2,5",shifted,swapped,-1,8,"1,6,1,8,6,13,11,1,8,13,4,8,4,11,6,13","1,6,1,8,6,13,11,8,1,13,4,8,4,11,6,13","1,6,1,8,6,13,11,1,7,13,4,8,4,11,6,13",false,
S1C1679,1,chromatic,"3,5,8,3,2,3,9,6,7,4,5,2,8,0,1,3",swapped,shifted,-1,8,"0,2,6,0,-1,0,7,3,5,1,2,-1,6,-3,-2,0","0,2,6,0,-1,0,7,5,3,1,2,-1,6,-3,-2,0","0,2,6,0,-1,0,7,3,4,1,2,-1,6,-3,-2,0",false,
S1C1679,1,chromatic,"3,1,0,2,4,2,3,7,1,8,7,1,5,9,7,6",shifted,swapped,-1,7,"1,-2,-3,0,3,0,1,7,-2,8,7,-2,4,9,7,5","1,-2,-3,0,3,0,1,-2,7,8,7,-2,4,9,7,5","1,-2,-3,0,3,0,1,6,-2,8,7,-2,4,9,7,5",false,
S1C1679,1,diatonic,"2,3,2,3,1,2,3,2,4,1,3,0,1,0,4,0",shifted,swapped,-1,7,"8,10,8,10,5,8,10,8,13,5,10,3,5,3,13,3","8,10,8,10,5,8,10,13,8,5,10,3,5,3,13,3","8,10,8,10,5,8,10,7,13,5,10,3,5,3,13,3",false,
S1C1679,1,chromatic,"2,5,3,4,0,1,8,5,7,1,6,8,0,3,1,8",shifted,swapped,1,8,"0,3,1,2,-3,-1,9,3,7,-1,5,9,-3,1,-1,9","0,3,1,2,-3,-1,9,7,3,-1,5,9,-3,1,-1,9","0,3,1,2,-3,-1,9,3,8,-1,5,9,-3,1,-1,9",false,
S1C1679,1,diatonic,"2,1,2,3,1,5,2,5,3,4,0,2,3,5,0,5",swapped,shifted,-1,8,"6,3,6,8,3,13,6,13,8,11,1,6,8,13,1,13","6,3,6,8,3,13,6,8,13,11,1,6,8,13,1,13","6,3,6,8,3,13,6,13,7,11,1,6,8,13,1,13",false,
S1C1679,1,chromatic,"6,4,0,6,7,3,8,5,3,4,3,1,8,1,2,1",swapped,shifted,-1,8,"4,2,-3,4,5,1,7,3,1,2,1,-2,7,-2,-1,-2","4,2,-3,4,5,1,7,1,3,2,1,-2,7,-2,-1,-2","4,2,-3,4,5,1,7,3,0,2,1,-2,7,-2,-1,-2",false,
S1C1679,1,diatonic,"3,1,4,5,2,3,2,0,3,4,1,0,3,4,2,3",shifted,swapped,1,8,"9,4,11,13,6,9,6,1,9,11,4,1,9,11,6,9","9,4,11,13,6,9,6,9,1,11,4,1,9,11,6,9","9,4,11,13,6,9,6,1,10,11,4,1,9,11,6,9",false,
S1C1679,1,chromatic,"5,2,0,4,6,1,7,6,5,3,7,6,7,6,1,5",swapped,shifted,1,7,"5,2,-3,4,6,-1,8,6,5,3,8,6,8,6,-1,5","5,2,-3,4,6,-1,8,5,6,3,8,6,8,6,-1,5","5,2,-3,4,6,-1,8,7,5,3,8,6,8,6,-1,5",false,
S1C1679,1,chromatic,"5,1,2,5,1,3,2,6,5,3,2,3,0,4,1,7",swapped,shifted,1,7,"3,-2,-1,3,-2,0,-1,4,3,0,-1,0,-3,2,-2,6","3,-2,-1,3,-2,0,-1,3,4,0,-1,0,-3,2,-2,6","3,-2,-1,3,-2,0,-1,5,3,0,-1,0,-3,2,-2,6",false,
S1C1679,1,diatonic,"3,4,3,1,2,3,4,0,3,2,5,2,1,2,4,0",swapped,shifted,1,7,"8,11,8,3,6,8,11,1,8,6,13,6,3,6,11,1","8,11,8,3,6,8,11,8,1,6,13,6,3,6,11,1","8,11,8,3,6,8,11,2,8,6,13,6,3,6,11,1",false,
S1C1679,1,diatonic,"0,1,4,3,2,3,0,3,4,1,0,2,5,4,3,4",swapped,shifted,-1,7,"1,3,10,8,6,8,1,8,10,3,1,6,13,10,8,10","1,3,10,8,6,8,1,10,8,3,1,6,13,10,8,10","1,3,10,8,6,8,1,7,10,3,1,6,13,10,8,10",false,
