Subject ID,Block Number,Probe Type,Probe Contour,Option 1,Option 2,Shift Direction,Shift Position,Probe Pitches,swapped Pitches,Shifted Pitches,Has Decoy,Decoy Position
S1C1226,2,diatonic,"5,3,5,3,2,4,5,0,5,2,1,0",swapped,shifted,1,6,"9,5,9,5,2,7,9,-3,9,2,0,-3","9,5,9,5,2,9,7,-3,9,2,0,-3","9,5,9,5,2,7,10,-3,9,2,0,-3",false,
S1C1226,2,chromatic,"5,2,3,6,2,4,1,3,2,1,0,6",shifted,swapped,1,6,"9,6,7,12,6,8,2,7,6,2,1,12","9,6,7,12,6,2,8,7,6,2,1,12","9,6,7,12,6,8,3,7,6,2,1,12",false,
S1C1226,2,chromatic,"0,5,1,5,6,7,0,4,8,2,8,3",swapped,shifted,1,5,"1,7,3,7,9,10,1,6,12,4,12,5","1,7,3,7,9,1,10,6,12,4,12,5","1,7,3,7,9,11,1,6,12,4,12,5",false,
S1C1226,2,diatonic,"2,3,0,3,1,3,4,0,4,2,1,3",shifted,swapped,1,6,"1,4,-3,4,-1,4,6,-3,6,1,-1,4","1,4,-3,4,-1,6,4,-3,6,1,-1,4","1,4,-3,4,-1,4,7,-3,6,1,-1,4",false,
S1C1226,2,diatonic,"4,3,5,2,5,2,4,1,4,0,1,3",swapped,shifted,1,5,"6,4,9,2,9,2,6,-1,6,-3,-1,4","6,4,9,2,9,6,2,-1,6,-3,-1,4","6,4,9,2,9,3,6,-1,6,-3,-1,4",false,
S1C1226,2,diatonic,"3,1,3,2,1,0,3,1,0,4,3,0",shifted,swapped,1,5,"4,-1,4,2,-1,-3,4,-1,-3,7,4,-3","4,-1,4,2,-1,4,-3,-1,-3,7,4,-3","4,-1,4,2,-1,-2,4,-1,-3,7,4,-3",false,
S1C1226,2,chromatic,"1,0,3,4,3,7,4,5,1,6,2,1",shifted,swapped,1,6,"3,2,6,7,6,13,7,11,3,12,5,3","3,2,6,7,6,7,13,11,3,12,5,3","3,2,6,7,6,13,8,11,3,12,5,3",false,
S1C1226,2,diatonic,"1,0,3,2,1,2,3,0,4,5,4,2",swapped,shifted,-1,6,"-1,-3,4,2,-1,2,4,-3,6,9,6,2","-1,-3,4,2,-1,4,2,-3,6,9,6,2","-1,-3,4,2,-1,2,3,-3,6,9,6,2",false,
S1C1226,2,diatonic,"4,5,4,1,2,5,1,3,5,0,4,1",shifted,swapped,-1,6,"7,9,7,0,2,9,0,5,9,-3,7,0","7,9,7,0,2,0,9,5,9,-3,7,0","7,9,7,0,2,9,-1,5,9,-3,7,0",false,
S1C1226,2,chromatic,"3,5,7,4,5,2,0,4,2,4,6,1",shifted,swapped,-1,5,"7,9,13,8,9,6,2,8,6,8,10,4","7,9,13,8,9,2,6,8,6,8,10,4","7,9,13,8,9,5,2,8,6,8,10,4",false,
S1C1226,2,diatonic,"5,3,5,2,1,5,3,1,0,4,0,5",shifted,swapped,1,5,"9,4,9,2,0,9,4,0,-3,7,-3,9","9,4,9,2,0,4,9,0,-3,7,-3,9","9,4,9,2,0,10,4,0,-3,7,-3,9",false,
S1C1226,2,diatonic,"0,1,2,4,1,4,0,5,2,1,4,3",swapped,shifted,-1,5,"-3,0,2,7,0,7,-3,9,2,0,7,4","-3,0,2,7,0,-3,7,9,2,0,7,4","-3,0,2,7,0,6,-3,9,2,0,7,4",false,
S1C1226,2,chromatic,"3,5,1,4,6,7,8,0,2,8,7,8",swapped,shifted,-1,6,"6,9,2,7,10,11,13,1,4,13,11,13","6,9,2,7,10,13,11,1,4,13,11,13","6,9,2,7,10,11,12,1,4,13,11,13",false,
S1C1226,2,diatonic,"3,1,2,1,2,1,0,4,2,4,5,0",swapped,shifted,-1,5,"4,-1,1,-1,1,-1,-3,6,1,6,9,-3","4,-1,1,-1,1,-3,-1,6,1,6,9,-3","4,-1,1,-1,1,-2,-3,6,1,6,9,-3",false,
S1C1226,2,chromatic,"2,3,7,5,4,0,1,4,6,2,3,7",shifted,swapped,-1,6,"7,8,13,11,10,1,5,10,12,7,8,13","7,8,13,11,10,5,1,10,12,7,8,13","7,8,13,11,10,1,4,10,12,7,8,13",false,
S1C1226,2,diatonic,"2,1,2,0,1,4,5,2,5,4,3,1",shifted,swapped,-1,6,"2,-1,2,-3,-1,7,9,2,9,7,4,-1","2,-1,2,-3,-1,9,7,2,9,7,4,-1","2,-1,2,-3,-1,7,8,2,9,7,4,-1",false,
S1C1226,2,chromatic,"4,7,5,8,3,6,1,2,5,0,7,5",swapped,shifted,1,5,"7,11,8,13,6,9,3,4,8,1,11,8","7,11,8,13,6,3,9,4,8,1,11,8","7,11,8,13,6,10,3,4,8,1,11,8",false,
S1C1226,2,chromatic,"7,5,1,6,1,3,5,4,2,0,1,5",shifted,swapped,1,5,"13,9,2,10,2,5,9,8,4,1,2,9","13,9,2,10,2,9,5,8,4,1,2,9","13,9,2,10,2,6,9,8,4,1,2,9",false,
S1C1226,2,chromatic,"1,2,0,3,4,0,5,6,4,1,5,2",swapped,shifted,-1,6,"3,4,1,6,7,1,10,13,7,3,10,4","3,4,1,6,7,10,1,13,7,3,10,4","3,4,1,6,7,1,9,13,7,3,10,4",false,
S1C1226,2,chromatic,"5,2,1,4,0,6,1,7,2,1,8,3",swapped,shifted,-1,5,"6,3,2,5,1,8,2,11,3,2,13,4","6,3,2,5,1,2,8,11,3,2,13,4","6,3,2,5,1,7,2,11,3,2,13,4",false,
